#At time x Allocated y bytes for process z from i to j
At time 4 Allocated 205 bytes for process 1 from 0 to 255
At time 5 Allocated 204 bytes for process 2 from 256 to 511
At time 10 Allocated 205 bytes for process 3 from 512 to 767
At time 11 Allocated 204 bytes for process 4 from 768 to 1023
At time 26 freed 204 bytes for process 2 from 256 to 511
At time 30 Allocated 204 bytes for process 5 from 256 to 511
At time 30 freed 205 bytes for process 3 from 512 to 767
At time 31 freed 204 bytes for process 4 from 768 to 1023
At time 39 freed 205 bytes for process 1 from 0 to 255
At time 41 freed 204 bytes for process 5 from 256 to 511
